id	text
L21	साथ में हल्की स्लेटी लाइनें भी दिखेंगी। वो दूसरे रास्ते हैं, थोड़े लंबे। उन्हें छोड़ दीजिए — गाढ़ी नीली लाइन आपकी है।
L22	ऊपर देखिए — गाड़ी, बाइक, बस, और चलता हुआ आदमी।
L23	आप पैदल जा रहे हैं, तो चलते हुए आदमी वाले निशान पर टैप कीजिए। ये नीला हो गया — मतलब चुन लिया।
L24	यहाँ लिखा है चौबीस मिनट, और दूरी करीब दो किलोमीटर। मतलब पैदल चौबीस मिनट लगेंगे।
L25	और अब सबसे ज़रूरी बटन — नीचे बाईं तरफ़ ये गहरे हरे रंग का बटन। इसे दबाइए। यहीं से मैप्स बोलकर रास्ता बताना शुरू करेगा।
L26	देखिए, रास्ता शुरू हो गया। ऊपर ये हरा बोर्ड — सबसे काम की चीज़। इस पर आपका अगला मोड़ दिखता है।
L27	बोर्ड पर ये सीधा ऊपर वाला तीर — मतलब सीधा चलते रहिए। मुड़ना नहीं है।
L28	और उसके नीचे छोटा बायाँ तीर — मतलब उसके बाद बाएँ मुड़ना है। मैप्स पहले से बता देता है।
L29	ये नीला तीर — ये आप हैं। जैसे-जैसे आप चलेंगे, ये तीर भी आगे बढ़ता जाएगा।
L30	और ऊपर वही लाल गुब्बारा — ग्राहक का घर। तीर को गुब्बारे तक पहुँचाना है।
L31	दाईं तरफ़ ये स्पीकर का निशान। आवाज़ न आ रही हो तो इसे एक बार दबा दीजिए। फिर मैप्स बोलेगा — “दो सौ मीटर बाद बाएँ मुड़िए।”
L32	अगर नक्शा इधर-उधर हो जाए और नीला तीर दिखना बंद हो जाए, तो बाईं तरफ़ ये सफ़ेद बटन दबाइए। नीला तीर वापस बीच में आ जाएगा।
L33	नीचे हमेशा दिखता रहेगा — कितना वक़्त और कितनी दूरी बची है।
L34	और ये लाल बटन — रास्ता बंद करने के लिए। ग्राहक के घर पहुँचने से पहले इसे भूलकर भी मत दबाइए।
L35	अब अभ्यास। पहला — आसान। मैं आपको चलाकर दिखाती हूँ।
L36	बोर्ड कहता है सीधा चलिए। तो देखिए — नीला तीर नीली बिंदियों पर आगे बढ़ रहा है।
L37	अब बोर्ड बदल गया — बायाँ तीर। मतलब यहाँ से बाएँ मुड़ना है।
L38	और तीर मुड़ गया। बस इतना ही है मैप्स चलाना — बोर्ड देखिए, और चलते रहिए।
L39	दूसरा अभ्यास — थोड़ा मुश्किल। ध्यान से देखिए।
L40	यहाँ एक जगह आती है जहाँ सामने सीधा रास्ता भी खुला होता है। मन कहेगा — सीधा चलते रहो।
L41	लेकिन बोर्ड पर बायाँ तीर है। अगर आप सीधा चले गए — देखिए, तीर लाल हो गया। रास्ता छूट गया।
L42	तो याद रखिए — आँख नहीं, बोर्ड और आवाज़ मानिए। मैप्स जो कहे, वही कीजिए। यही सबसे बड़ी सीख है।
L43	तीसरा अभ्यास — सबसे मुश्किल। लेकिन डरने की कोई बात नहीं।
L44	मान लीजिए फ़ोन जेब में है और स्क्रीन बंद हो गई। घबराइए नहीं — आवाज़ चलती रहती है। मैप्स बोलता रहेगा।
L45	फ़ोन निकालिए, स्क्रीन चालू कीजिए — रास्ता वहीं मिलेगा जहाँ छोड़ा था। कुछ नहीं बिगड़ता।
L46	अब एक और डर। मान लीजिए मोड़ छूट गया और आप गलत गली में चले गए।
L47	देखिए क्या होता है। मैप्स नाराज़ नहीं होता। वो चुपचाप आपके लिए नया रास्ता बना देता है — ये नई नीली लाइन।
L48	तो गलत मोड़ लेने पर रुकिए मत, वापस भागिए मत। बस चलते रहिए और नई नीली लाइन देखिए।
L49	चलते रहिए... बस थोड़ा और... और अब तीर लाल गुब्बारे के पास पहुँच रहा है।
L50	पहुँच गए! आप ग्राहक के घर के बाहर खड़े हैं। अब मैप्स का काम खत्म।
L51	अब अपने ऐप में वापस आइए और नीचे बैंगनी बटन — “मार्क आ गया” — दबाइए। इसका मतलब है, मैं पहुँच गया।
L52	बहुत बढ़िया! अब पाँच छोटे सवाल। मैं सवाल और सारे जवाब बोलकर बताऊँगी। आपको स्क्रीन पर सही जवाब पर टैप करना है।
Q1_ASK	अगला मोड़ कहाँ दिखता है?
Q1_OPT1	ऊपर हरा बोर्ड
Q1_OPT2	नीचे लाल बटन
Q1_OPT3	दाईं तरफ़ स्पीकर
Q1_OK	सही! हरा बोर्ड ही अगला मोड़ बताता है।
Q1_NO	नहीं। अगला मोड़ हमेशा ऊपर हरे बोर्ड पर दिखता है। दोबारा कोशिश कीजिए।
Q2_ASK	नक्शे पर आप कौन हैं?
Q2_OPT1	नीला तीर
Q2_OPT2	लाल गुब्बारा
Q2_OPT3	स्लेटी लाइन
Q2_OK	बिलकुल सही! नीला तीर आप हैं। लाल गुब्बारा ग्राहक का घर है।
Q2_NO	नहीं। लाल गुब्बारा ग्राहक का घर है — आप नीला तीर हैं। फिर से कोशिश कीजिए।
Q3_ASK	मैप्स की आवाज़ नहीं आ रही। क्या दबाएँगे?
Q3_OPT1	स्पीकर का निशान
Q3_OPT2	नीचे लाल बटन
Q3_OPT3	बाईं तरफ़ सफ़ेद बटन
Q3_OK	सही! स्पीकर दबाइए और आवाज़ वापस आ जाएगी।
Q3_NO	नहीं। लाल बटन तो रास्ता बंद कर देगा। आवाज़ के लिए स्पीकर का निशान दबाइए। दोबारा कोशिश कीजिए।
Q4_ASK	गलत मोड़ ले लिया। अब क्या करेंगे?
Q4_OPT1	चलते रहिए, मैप्स नया रास्ता बना देगा
Q4_OPT2	लाल बटन दबाकर मैप्स बंद कर दीजिए
Q4_OPT3	वापस उसी जगह भाग जाइए
Q4_OK	एकदम सही! मैप्स खुद नया रास्ता बना देता है। बस चलते रहिए।
Q4_NO	नहीं। मैप्स बंद करने या वापस भागने की ज़रूरत नहीं। चलते रहिए — नया रास्ता खुद बन जाएगा।
Q5_ASK	ग्राहक के घर पहुँच गए। ऐप में क्या दबाएँगे?
Q5_OPT1	नीचे बैंगनी बटन
Q5_OPT2	हरा फ़ोन का निशान
Q5_OPT3	ऊपर इमरजेंसी
Q5_OK	सही! बैंगनी बटन — “मार्क आ गया”।
Q5_NO	नहीं। पहुँचने पर नीचे का बैंगनी बटन दबाना है। दोबारा कोशिश कीजिए।
TAP_NOW	अब सही जवाब पर टैप कीजिए।
CERT_FULL	शाबाश! पाँच में से पाँच। आपने मैप्स सीख लिया।
CERT_PART	बहुत अच्छे! आपने कुछ सवाल पहली बार में सही किए। चाहें तो क्विज़ दोबारा कर सकते हैं।
